"case_number","case_name","passage","case_question_id","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-01","In light of the passage, which of the following best represents the ratio of the Supreme Court in Abhimeet Sinha & Ors.?","Minimum qualifying marks in viva voce are unconstitutional as they create arbitrariness.","Minimum qualifying marks in viva voce are valid if the process ensures fairness and uniformity.","High Courts lack authority to prescribe interview marks.","The Shetty Commission report has binding force over High Court rules.","(B)","The Court clarified that prescribing minimum viva voce marks is not arbitrary if the process remains transparent and consistent. It recognized that interviews serve to assess communication, temperament, and suitability, vital for judicial office. Therefore, fairness and uniform benchmarks safeguard equality under Articles 14–16."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-02","The Court in Abhimeet Sinha interpreted Articles 233–235 to mean that:","Judicial recruitment is a legislative function of the State Government.","The High Court has a supervisory and consultative role in judicial service appointments.","The Governor is solely responsible for recruitment.","Judicial Service Commissions must fix written-exam marks only.","(B)","Under Articles 233–235, the High Court exercises control and consultation powers over recruitment and disciplinary matters in the subordinate judiciary. The Governor formally appoints, but the High Court’s consultation is mandatory. Thus, the High Court’s rule-making power for interviews is constitutionally entrenched."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-03","Which of the following statements is/are correct?
 i. The Shetty Commission recommendations were held to be binding on all High Courts.
 ii. The prescription of minimum viva voce marks is not per se violative of Article 14.
 iii. Articles 233–235 confer autonomy on High Courts in judicial service administration.","i only","ii and iii only","i and ii only","All of the above","(B)","(i) ❌ Incorrect — The Shetty Commission’s recommendations are persuasive, not binding.
(ii) ✅ Correct — The Court ruled that minimum viva marks are not per se violative of Article 14.
(iii) ✅ Correct — Articles 233–235 ensure High Court autonomy in judicial administration.
Hence, only (ii) and (iii) are correct."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-04","The petitioners’ primary reliance on All India Judges’ Association v. Union of India (1992) was rejected because:","That decision never prohibited minimum interview marks.","It was overruled by Manish Sisodia v. Directorate of Enforcement.","It dealt only with Article 32 petitions.","It was limited to criminal judicial reforms.","(A)","The petitioners cited All India Judges’ Association (1992) to argue against viva voce marks. The Court clarified that the 1992 judgment focused on service conditions and pay scales, not recruitment methods. It never prohibited fixing minimum marks, hence the reliance was misplaced."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-05","Which of the following constitutional doctrines guided the Court’s reasoning in Abhimeet Sinha?","Doctrine of proportionality and manifest arbitrariness","Doctrine of colourable legislation","Doctrine of severability","Doctrine of legitimate expectation","(A)","The Court applied proportionality to ensure that the rule’s objectives (ensuring judicial merit) were not disproportionate to its means. It also invoked manifest arbitrariness under Article 14 to test whether the rule was capricious — finding it reasonable, transparent, and thus valid."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-06","According to the judgment, which of the following distinguishes eligibility from suitability?","Eligibility refers to objective qualifications; suitability to subjective evaluation.","Eligibility is decided by PSC; suitability by the legislature.","Both are synonymous in judicial recruitment.","Eligibility always includes personality tests.","(A)","The Court distinguished between eligibility (objective criteria like degrees, age) and suitability (assessed through interview or viva voce). Eligibility entitles a candidate to be considered, but suitability determines whether the person is fit for appointment."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-07","Consider the following statements:
 i. Viva voce marks can be prescribed only through legislative amendment.
 ii. A transparent interview process with moderation does not violate Article 14.
 iii. Reasonableness and uniform application are the tests for constitutionality of recruitment rules.
 Which of the above is/are correct?","i only","ii and iii only","iii only","All of the above","(B)","(i) ❌ Incorrect — Legislative amendment is not required; High Courts can prescribe viva marks through rules.
(ii) ✅ Transparent interviews with recorded moderation ensure fairness under Article 14.
(iii) ✅ Reasonableness and uniformity are the touchstones for testing constitutionality of recruitment rules.
Hence, (ii) and (iii) are correct."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-08","The Court’s reasoning in Abhimeet Sinha reflects which broader constitutional value?","Decentralisation of judicial appointments","Judicial independence and institutional autonomy","Supremacy of administrative commissions","Restrictive interpretation of equality","(B)","The judgment underscores that judicial independence requires control over recruitment. Allowing High Courts to set standards ensures quality and insulates the judiciary from executive influence, aligning with separation of powers and autonomy principles."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-09","Which of the following principles from Abhimeet Sinha aligns with earlier precedents like Syed T.A. Naqshbandi v. State of J&K?","Judicial recruitment rules framed by High Courts are subject to judicial review for arbitrariness.","All High Court recruitment decisions are immune from challenge.","Commissions’ recommendations override statutory rules.","Recruitment standards are fixed by the Union Public Service Commission.","(A)","The Court cited Syed T.A. Naqshbandi v. State of J&K (2003) — holding that judicial service rules are valid unless shown to be arbitrary or discriminatory. Thus, High Court rules enjoy autonomy but are reviewable under Article 226/32 for violating fairness or equality."
"CQ-24-01","Abhimeet Sinha & Ors. v. High Court of Judicature at Patna & Ors. (2024)","The Supreme Court examined whether prescribing minimum qualifying marks in the viva voce for Bihar Judicial Service recruitment violated Articles 14 and 16. The petitioners contended that such prescription was arbitrary and contrary to All India Judges’ Association (1992) and the Shetty Commission Report. The Court rejected this argument, holding that the High Court, under Articles 233 to 235, enjoys constitutional autonomy in regulating recruitment to the subordinate judiciary. Fixing reasonable benchmarks in interviews, if applied transparently and uniformly, does not amount to arbitrariness or discrimination. The Court distinguished between eligibility and suitability, emphasizing that while the former depends on objective qualifications, the latter involves a holistic assessment of temperament and aptitude essential for judicial office. Hence, minimum viva-voce marks were upheld as a valid exercise of High Court power ensuring merit and institutional integrity.","CQ-24-01-10","In light of the passage, which of the following statements best explains the significance of the decision?","It nullified the Shetty Commission report.","It upheld the power of High Courts to maintain quality and merit through structured recruitment rules.","It made viva voce optional in judicial recruitment.","It limited judicial autonomy by requiring legislative ratification.","(B)","The decision reaffirms that judicial quality must not be diluted. High Courts can prescribe objective and subjective standards (like viva voce) to maintain excellence and integrity. The ruling thus strengthens institutional independence and fair selection standards."
