"passage_number","passage","question_no","question","option_a","option_b","option_c","option_d","correct_answer"
1,null,1,"The above passage has been taken from which of the following recent judgments, relating to the question of reservation in promotions for the disabled persons?","National Federation of the Blind v. Sanjay Kothari, Secy. Deptt. of Personnel and Training.","Siddaraju v. State of Karnataka & Ors.","Rajeev Kumar Gupta & Ors. v. Union of India & Ors.","Ashok Kumar v. Union of India & Ors.","B"
1,null,2,"Which of the following is true in context of the scheme provided under Article 16 of the Indian Constitution, relating to reservation in promotion?","Reservation in promotion can only be granted to the class of citizens mentioned under Article 16 (4).","Reservation in promotion cannot be granted to a class of citizen provided by the virtue of Article 16 (1).","The scheme of reservation in promotion can be extended to any class of citizens under the scheme of Article 16 (1).","Reservation in promotion defeats the scheme of Article 16 (1) and Article 15 (1).","C"
1,null,3,"The Union government has issued an office memorandum under which 3% reservation has been provided to the persons with disability, apart from the reservations provided to different class of citizens such as 27% for OBCs, 14% to SCs and 7% to STs. Now, the total percentage of reservation has reached 51%, which is against the judgment given in Indira Sawhney v. Union of India. Now, choose the most appropriate option amongst the following.","The reservation provided to persons with disability is constitutionally valid as it falls within the horizontal scheme of reservation.","The judgment in Indira Sawhney is not applicable to the persons with disability and hence such reservation is valid.","The reservation provided to persons with disability is invalid as in no case reservation can increase 50%.","The reservation to PWD does not fall under the scheme of Article 16 (4) and hence unconstitutional.","A"
1,null,4,"What is the meaning of the 'Catch-up' rule associated with the matters of seniority in reservation in promotion?","If the junior candidate promoted on the basis of reservation gets promoted to further grade by the time senior general category candidate is promoted to earlier grade, the question of seniority does not arise.","A reserved category candidate promoted on the basis of reservation earlier than his senior general category candidates in the feeder category, shall become junior when general category senior candidate too gets promoted.","The candidate promoted to higher grade on the basis of reservation remains senior even if his senior is promoted to the same grade.","None of the above.","B"
1,null,5,"The Article 16 (4A), provides for which of the following?","Catch-up rule.","Carry forward rule.","Consequential seniority.","All of the above.","C"
1,null,6,"The scheme of reservation in promotion is limited to which of the following as per the text of Article 16 (4A)?","Schedule Castes and Schedule Tribes.","Backward class of citizens.","PWD candidates.","All of the above.","A"
1,null,7,"Government policy of no reservation in promotion for class I and II posts was initially:","Struck down in C.A. Rajendra case.","Struck down in M. Nagraj case.","Upheld in Jarnail Singh case.","Upheld in C.A. Rajendra case.","D"
1,null,8,"Jarnail Singh case overruled the M. Nagraj on the issue of:","Collection of quantifiable data to determine inadequacy of representation of SCs and STs.","Collection of quantifiable data to determine the backwardness.","Collection of data on efficiency of administration.","All the above.","B"
1,null,9,"Creamy layer concept is applicable to:","All reservations.","SC ST reservations.","OBC reservation.","Only horizontal reservation.","C"
1,null,10,"In Vivekanand Tiwari, Supreme Court held that the unit for reservation in universities should be:","University as a whole.","Faculties of the University.","Departments of the University.","(a) and (b).","C"
